pass,keyword,segmento,intencion,encaje,busquedas_mes,competencia,idx_comp,cpc_usd,puja_baja,puja_alta,var_anual_pct,pico_mes,variantes,otras_variantes,tags
en_world,"ships sales",OTRO,GENERICA,REVISAR,9900,LOW,14,1227.47,105.97,1951.68,-9,1,1,"","url:gac.com"
en_world,"shipping line",OTRO,GENERICA,REVISAR,9900,LOW,14,7643.97,1086.21,8099.01,-8,11,1,"","url:lethagencies.com"
en_world,"shipping liners",OTRO,GENERICA,REVISAR,9900,LOW,14,7643.97,1086.21,8099.01,-8,11,1,"","url:lethagencies.com"
en_world,"merchant vessels",OTRO,GENERICA,REVISAR,9900,LOW,0,113594.46,1325.61,48627.43,-2,3,1,"","url:orcashipsagents.com"
en_world,"lpg gas tankers",OTRO,GENERICA,EXCLUIR,9900,MEDIUM,47,3607.06,1766.73,12921.79,-7,3,1,"","url:24marine.com"
en_world,"lpg tankers",OTRO,GENERICA,REVISAR,9900,MEDIUM,47,3607.06,1766.73,12921.79,-7,3,1,"","url:24marine.com"
en_world,"vehicle shipping agent",AGENCIA,COMERCIAL,EXCLUIR,8100,LOW,5,2486.26,5388.26,31268.78,911,10,1,"","agencia"
en_world,"marine services",OTRO,COMERCIAL,REVISAR,8100,LOW,12,13157.00,2625.81,38795.33,-24,3,1,"","url:panamashipservice.com url:gac.com url:24marine.com"
en_world,"marine survey",SURVEY,GENERICA,SERVICIO,8100,LOW,8,14000.19,2284.06,15151.24,-18,3,1,"","url:panamashipservice.com url:24marine.com"
en_world,"worldwide ship",OTRO,GENERICA,REVISAR,8100,MEDIUM,35,8151.79,1284.04,8511.00,-25,1,1,"","url:gac.com"
en_world,"ship location",OTRO,GENERICA,REVISAR,8100,LOW,3,2110.28,419.17,2150.96,-10,3,1,"","url:gac.com"
en_world,"global ship",OTRO,GENERICA,REVISAR,8100,LOW,21,9381.97,1710.32,13428.07,-29,10,1,"","url:gac.com"
en_world,"ship store",OTRO,GENERICA,REVISAR,8100,LOW,9,4285.83,2273.09,19075.26,-61,12,1,"","url:lethagencies.com"
en_world,"lpg carriers",OTRO,GENERICA,REVISAR,8100,LOW,0,4696.01,1060.87,9477.57,31,3,1,"","url:24marine.com"
en_world,"lpg vessel",OTRO,GENERICA,REVISAR,8100,LOW,0,4696.01,1060.87,9477.57,31,3,1,"","url:24marine.com"
en_world,"marketing services",OTRO,COMERCIAL,EXCLUIR,8100,LOW,19,29426.43,4310.12,39433.58,-26,1,1,"","url:crossworldagency.com"
en_world,"panama canal locks",INFO_CANAL,INFORMACIONAL,BLOG_GENERAL,6600,LOW,3,3956.17,901.51,3330.20,-30,1,1,"","info url:adimarships.com"
en_world,"gatun locks",INFO_CANAL,INFORMACIONAL,BLOG_GENERAL,6600,LOW,3,3956.17,901.51,3330.20,-30,1,1,"","info"
en_world,"gatun locks panama",INFO_CANAL,INFORMACIONAL,BLOG_GENERAL,6600,LOW,3,3956.17,901.51,3330.20,-30,1,1,"","info"
en_world,"locks panama",INFO_CANAL,INFORMACIONAL,BLOG_GENERAL,6600,LOW,3,3956.17,901.51,3330.20,-30,1,1,"","info"
en_world,"panama canal gates",INFO_CANAL,INFORMACIONAL,BLOG_GENERAL,6600,LOW,3,3956.17,901.51,3330.20,-30,1,1,"","info"
en_world,"panama canal water locks",INFO_CANAL,INFORMACIONAL,BLOG_GENERAL,6600,LOW,3,3956.17,901.51,3330.20,-30,1,1,"","info"
en_world,"shipping vessel",OTRO,GENERICA,REVISAR,6600,LOW,2,5430.46,1218.25,5586.35,-11,3,2,"vessel shipping","url:gac.com"
en_world,"ship charterers",CONSULT,GENERICA,SERVICIO,6600,LOW,3,8223.49,1994.49,9739.13,-21,9,1,"","url:adimarships.com url:panamashipservice.com"
en_world,"canal locks",INFO_CANAL,INFORMACIONAL,BLOG_GENERAL,6600,LOW,0,9439.84,1591.23,18115.31,5,3,1,"","url:adimarships.com"
en_world,"sides of a ship",OTRO,GENERICA,REVISAR,6600,LOW,1,193.73,37.84,277.87,-1,3,1,"","url:panamashipservice.com"
en_world,"engine of ship",OTRO,GENERICA,REVISAR,6600,LOW,3,26465.33,1823.93,16760.88,2,1,1,"","url:panamashipservice.com"
